date,startup_name,industry,sub_industry,city,investors,investment_type,amount_usd,investor_list
2020-01-09,Byju’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000.0,['Tiger Global Management']
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,['Susquehanna Growth Equity']
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860.0,['Sequoia Capital India']
2020-01-02,,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,3000000.0,['Vinod Khatumal']
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,['Sprout Venture Partners']
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,['Chiratae Ventures']
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0,['Ant Financial']
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,['Sathguru Catalyzer Advisors']
2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,['Ping An Global Voyager Fund']
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,"['Mumbai Angels', ' Ravikanth Reddy']"
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0,"['SAIF Partners', ' Spring Canter Investment Ltd.']"
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,"['Paytm', ' NPTK', ' Sabre Partners and Neoplux']"
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000.0,['Vertex Growth Fund']
